candidate_id,canonical_name,english_name,aliases,type,family,primary_domain,subdomain,priority,knowledge_level,stability,dependencies,reserve_status,activation_rule
candidate-mathematical-induction,Mathematical Induction,Mathematical Induction,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-probability-theory,Probability Theory,Probability Theory,,model,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-combinatorics,Combinatorics,Combinatorics,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-finite-state-machine,Finite State Machine,Finite State Machine,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-algorithm-correctness,Algorithm Correctness,Algorithm Correctness,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-algoritmos-estructuras-datos,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-direct-memory-access,Direct Memory Access,Direct Memory Access,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-memory-mapped-i-o,Memory-Mapped I/O,Memory-Mapped I/O,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-reduced-instruction-set-computer,Reduced Instruction Set Computer,Reduced Instruction Set Computer,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-complex-instruction-set-computer,Complex Instruction Set Computer,Complex Instruction Set Computer,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-field-programmable-gate-array,Field-Programmable Gate Array,Field-Programmable Gate Array,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-embebidos-firmware,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-webassembly,WebAssembly,WebAssembly,,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-web-worker,Web Worker,Web Worker,,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-template-engine,Template Engine,Template Engine,,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-package-manager,Package Manager,Package Manager,,role,people-capabilities,domain-desarrollo-software,subdomain-practicas-implementacion,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-linter,Linter,Linter,,concept,ideas-orientations,domain-desarrollo-software,subdomain-practicas-implementacion,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-event-storming,Event Storming,Event Storming,,concept,ideas-orientations,domain-ingenieria-software,subdomain-diseno-arquitectura-software,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
candidate-architecture-fitness-function,Architecture Fitness Function,Architecture Fitness Function,,concept,ideas-orientations,domain-ingenieria-software,subdomain-diseno-arquitectura-software,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
candidate-chaos-engineering,Chaos Engineering,Chaos Engineering,,process,ways-of-working,domain-ingenieria-software,subdomain-calidad-pruebas,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
candidate-mutation-testing,Mutation Testing,Mutation Testing,,process,ways-of-working,domain-ingenieria-software,subdomain-calidad-pruebas,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
candidate-contract-testing,Contract Testing,Contract Testing,,process,ways-of-working,domain-ingenieria-software,subdomain-calidad-pruebas,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
candidate-virtual-extensible-lan,Virtual Extensible LAN,Virtual Extensible LAN,,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-redes-empresariales,important,contextual-understanding,slow-evolution,entity-red-de-computadoras,reserved,one-for-one replacement only
candidate-generic-routing-encapsulation,Generic Routing Encapsulation,Generic Routing Encapsulation,,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,important,contextual-understanding,slow-evolution,entity-red-de-computadoras,reserved,one-for-one replacement only
candidate-session-initiation-protocol,Session Initiation Protocol,Session Initiation Protocol,,protocol,specifications-implementations,domain-redes-telecomunicaciones,subdomain-internet-servicios-red,important,contextual-understanding,slow-evolution,entity-red-de-computadoras,reserved,one-for-one replacement only
candidate-real-time-transport-protocol,Real-Time Transport Protocol,Real-Time Transport Protocol,,protocol,specifications-implementations,domain-redes-telecomunicaciones,subdomain-internet-servicios-red,important,contextual-understanding,slow-evolution,entity-red-de-computadoras,reserved,one-for-one replacement only
candidate-simple-network-management-protocol,Simple Network Management Protocol,Simple Network Management Protocol,,protocol,specifications-implementations,domain-redes-telecomunicaciones,subdomain-operacion-redes,important,contextual-understanding,slow-evolution,entity-red-de-computadoras,reserved,one-for-one replacement only
candidate-serverless-computing,Serverless Computing,Serverless Computing,,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,important,contextual-understanding,slow-evolution,entity-cloud-computing,reserved,one-for-one replacement only
candidate-function-as-a-service,Function as a Service,Function as a Service,,service,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,important,contextual-understanding,slow-evolution,entity-cloud-computing,reserved,one-for-one replacement only
candidate-cloud-landing-zone,Cloud Landing Zone,Cloud Landing Zone,,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,important,contextual-understanding,slow-evolution,entity-cloud-computing,reserved,one-for-one replacement only
candidate-immutable-infrastructure,Immutable Infrastructure,Immutable Infrastructure,,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-devops-ingenieria-plataformas,important,contextual-understanding,slow-evolution,entity-cloud-computing,reserved,one-for-one replacement only
candidate-opentelemetry,OpenTelemetry,OpenTelemetry,,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-confiabilidad-sre-observabilidad,important,contextual-understanding,slow-evolution,entity-cloud-computing,reserved,one-for-one replacement only
candidate-zero-day-vulnerability,Zero-Day Vulnerability,Zero-Day Vulnerability,,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-operaciones-seguridad,important,contextual-understanding,slow-evolution,entity-cia-triad,reserved,one-for-one replacement only
candidate-software-supply-chain-security,Software Supply Chain Security,Software Supply Chain Security,,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,contextual-understanding,slow-evolution,entity-cia-triad,reserved,one-for-one replacement only
candidate-software-bill-of-materials,Software Bill of Materials,Software Bill of Materials,,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-privacidad-riesgo-cumplimiento,important,contextual-understanding,slow-evolution,entity-cia-triad,reserved,one-for-one replacement only
candidate-data-loss-prevention,Data Loss Prevention,Data Loss Prevention,,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-operaciones-seguridad,important,contextual-understanding,slow-evolution,entity-cia-triad,reserved,one-for-one replacement only
candidate-web-application-firewall,Web Application Firewall,Web Application Firewall,,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-operaciones-seguridad,important,contextual-understanding,slow-evolution,entity-cia-triad,reserved,one-for-one replacement only
candidate-slowly-changing-dimension,Slowly Changing Dimension,Slowly Changing Dimension,,concept,ideas-orientations,domain-datos-analitica,subdomain-bi-analitica,important,contextual-understanding,slow-evolution,entity-database,reserved,one-for-one replacement only
candidate-data-vault,Data Vault,Data Vault,,concept,ideas-orientations,domain-datos-analitica,subdomain-arquitectura-gestion-datos,important,contextual-understanding,slow-evolution,entity-database,reserved,one-for-one replacement only
candidate-query-optimizer,Query Optimizer,Query Optimizer,,concept,ideas-orientations,domain-datos-analitica,subdomain-bases-datos,important,contextual-understanding,slow-evolution,entity-database,reserved,one-for-one replacement only
candidate-materialized-view,Materialized View,Materialized View,,concept,ideas-orientations,domain-datos-analitica,subdomain-bases-datos,important,contextual-understanding,slow-evolution,entity-database,reserved,one-for-one replacement only
candidate-data-virtualization,Data Virtualization,Data Virtualization,,concept,ideas-orientations,domain-datos-analitica,subdomain-arquitectura-gestion-datos,important,contextual-understanding,slow-evolution,entity-database,reserved,one-for-one replacement only
candidate-transfer-learning,Transfer Learning,Transfer Learning,,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-machine-learning,important,contextual-understanding,slow-evolution,entity-artificial-intelligence,reserved,one-for-one replacement only
candidate-self-supervised-learning,Self-Supervised Learning,Self-Supervised Learning,,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-machine-learning,important,contextual-understanding,slow-evolution,entity-artificial-intelligence,reserved,one-for-one replacement only
candidate-model-quantization,Model Quantization,Model Quantization,,model,ideas-orientations,domain-inteligencia-artificial,subdomain-ingenieria-evaluacion-gobierno-ia,important,contextual-understanding,slow-evolution,entity-artificial-intelligence,reserved,one-for-one replacement only
candidate-ai-guardrail,AI Guardrail,AI Guardrail,,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-ingenieria-evaluacion-gobierno-ia,important,contextual-understanding,slow-evolution,entity-artificial-intelligence,reserved,one-for-one replacement only
candidate-synthetic-data,Synthetic Data,Synthetic Data,,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-ingenieria-evaluacion-gobierno-ia,important,contextual-understanding,slow-evolution,entity-artificial-intelligence,reserved,one-for-one replacement only
candidate-api-management,API Management,API Management,,process,ways-of-working,domain-integracion-sistemas-empresariales,subdomain-apis-interoperabilidad,important,contextual-understanding,slow-evolution,entity-interoperabilidad,reserved,one-for-one replacement only
candidate-schema-registry,Schema Registry,Schema Registry,,model,ideas-orientations,domain-integracion-sistemas-empresariales,subdomain-mensajeria-eventos,important,contextual-understanding,slow-evolution,entity-interoperabilidad,reserved,one-for-one replacement only
candidate-consumer-driven-contract,Consumer-Driven Contract,Consumer-Driven Contract,,concept,ideas-orientations,domain-integracion-sistemas-empresariales,subdomain-apis-interoperabilidad,important,contextual-understanding,slow-evolution,entity-interoperabilidad,reserved,one-for-one replacement only
candidate-message-ordering,Message Ordering,Message Ordering,,concept,ideas-orientations,domain-integracion-sistemas-empresariales,subdomain-mensajeria-eventos,important,contextual-understanding,slow-evolution,entity-interoperabilidad,reserved,one-for-one replacement only
candidate-correlation-id,Correlation ID,Correlation ID,,concept,ideas-orientations,domain-integracion-sistemas-empresariales,subdomain-middleware-integracion,important,contextual-understanding,slow-evolution,entity-interoperabilidad,reserved,one-for-one replacement only
candidate-jobs-to-be-done,Jobs to Be Done,Jobs to Be Done,,concept,ideas-orientations,domain-producto-experiencia,subdomain-producto-digital,important,contextual-understanding,slow-evolution,entity-producto-digital,reserved,one-for-one replacement only
candidate-design-sprint,Design Sprint,Design Sprint,,practice,ways-of-working,domain-producto-experiencia,subdomain-investigacion-ux,important,contextual-understanding,slow-evolution,entity-producto-digital,reserved,one-for-one replacement only
candidate-heuristic-evaluation,Heuristic Evaluation,Heuristic Evaluation,,process,ways-of-working,domain-producto-experiencia,subdomain-investigacion-ux,important,contextual-understanding,slow-evolution,entity-producto-digital,reserved,one-for-one replacement only
candidate-customer-journey-map,Customer Journey Map,Customer Journey Map,,concept,ideas-orientations,domain-producto-experiencia,subdomain-investigacion-ux,important,contextual-understanding,slow-evolution,entity-producto-digital,reserved,one-for-one replacement only
candidate-net-promoter-score,Net Promoter Score,Net Promoter Score,,metric,results-measurement,domain-producto-experiencia,subdomain-producto-digital,important,contextual-understanding,slow-evolution,entity-producto-digital,reserved,one-for-one replacement only
candidate-technology-radar,Technology Radar,Technology Radar,,concept,ideas-orientations,domain-estrategia-gobierno-liderazgo,subdomain-estrategia-gobierno-it,important,contextual-understanding,slow-evolution,entity-estrategia-tecnologica,reserved,one-for-one replacement only
candidate-it-operating-model,IT Operating Model,IT Operating Model,,model,ideas-orientations,domain-estrategia-gobierno-liderazgo,subdomain-estrategia-gobierno-it,important,contextual-understanding,slow-evolution,entity-estrategia-tecnologica,reserved,one-for-one replacement only
candidate-center-of-excellence,Center of Excellence,Center of Excellence,,concept,ideas-orientations,domain-estrategia-gobierno-liderazgo,subdomain-liderazgo-organizacion,important,contextual-understanding,slow-evolution,entity-estrategia-tecnologica,reserved,one-for-one replacement only
candidate-value-stream-management,Value Stream Management,Value Stream Management,,process,ways-of-working,domain-estrategia-gobierno-liderazgo,subdomain-portafolios-programas-proyectos,important,contextual-understanding,slow-evolution,entity-estrategia-tecnologica,reserved,one-for-one replacement only
candidate-objectives-and-key-results,Objectives and Key Results,Objectives and Key Results,,concept,ideas-orientations,domain-estrategia-gobierno-liderazgo,subdomain-liderazgo-organizacion,important,contextual-understanding,slow-evolution,entity-estrategia-tecnologica,reserved,one-for-one replacement only
